ID_Comentario,Equipo,Partido,Comentario_Limpio,Entidad_Mencionada
1,Liverpool,Liverpool V Bourmouth,❤️,
2,Liverpool,Liverpool V Bourmouth,❤️,
3,Liverpool,Liverpool V Bourmouth,❤️,
4,Liverpool,Liverpool V Bourmouth,❤️,
5,Liverpool,Liverpool V Bourmouth,❤️,
6,Liverpool,Liverpool V Bourmouth,❤️❤️,
7,Liverpool,Liverpool V Bourmouth,❤️❤️,
8,Liverpool,Liverpool V Bourmouth,❤️❤️❤️,
9,Liverpool,Liverpool V Bourmouth,❤️❤️❤️,
10,Liverpool,Liverpool V Bourmouth,❤️❤️❤️utamuuuuu,
11,Liverpool,Liverpool V Bourmouth,❤️🔥👏,
12,Liverpool,Liverpool V Bourmouth,5% of FSG money has worth😂,
13,Liverpool,Liverpool V Bourmouth,A wins a win tho! 🔥,
14,Liverpool,Liverpool V Bourmouth,big 3 who?,
15,Liverpool,Liverpool V Bourmouth,BIG THREE POINTS ✅,
16,Liverpool,Liverpool V Bourmouth,biso,
17,Liverpool,Liverpool V Bourmouth,Cancel sa ggt break la😡,
18,Liverpool,Liverpool V Bourmouth,CRUCIAL WIN,
19,Liverpool,Liverpool V Bourmouth,Gakpo is pure class...We owe him a big apology 🙌,Cody Gakpo
20,Liverpool,Liverpool V Bourmouth,Gakpo we owe you an apology mate🔥😂,Cody Gakpo
21,Liverpool,Liverpool V Bourmouth,Give a new contract for Macca >>>,Alexis Mac Allister
22,Liverpool,Liverpool V Bourmouth,I love my club ❤️,
23,Liverpool,Liverpool V Bourmouth,ILL SAY IT AGAIN JEREMY JAQUET IS THE TRUTH WHAT A PLAYER,
24,Liverpool,Liverpool V Bourmouth,"Iraola master class , those substitutions 🔥",
25,Liverpool,Liverpool V Bourmouth,Isaaaakkk,
26,Liverpool,Liverpool V Bourmouth,Isak balangsak 🔥,Alexander Isak
27,Liverpool,Liverpool V Bourmouth,Isak my be the greatest striker off all time,Alexander Isak
28,Liverpool,Liverpool V Bourmouth,Jacquet & Araujo what a satisfaction👏,
29,Liverpool,Liverpool V Bourmouth,Jacquet & Araujo 🙌🙌🙌,
30,Liverpool,Liverpool V Bourmouth,Jacquet I love youuuuuu,
31,Liverpool,Liverpool V Bourmouth,Jacquet is him😤,
32,Liverpool,Liverpool V Bourmouth,Jacquet!!! What a baller,
33,Liverpool,Liverpool V Bourmouth,"Jacquet, Nyonyi, Koumas, we’re preparing well for the future. On to the next one, Cityzens. 🔥",
34,Liverpool,Liverpool V Bourmouth,"Jeremy Jacquet appreciation comment , what a player !",
35,Liverpool,Liverpool V Bourmouth,Jeremy Jacquet.,
36,Liverpool,Liverpool V Bourmouth,LIVERPOOL GOAL HERE ⚽🔴👈🏻,
37,Liverpool,Liverpool V Bourmouth,loveu gakpo,Cody Gakpo
38,Liverpool,Liverpool V Bourmouth,Man-U fans going crazy 😂🐦‍🔥⚽,
39,Liverpool,Liverpool V Bourmouth,mayan naik pelan pelan,
40,Liverpool,Liverpool V Bourmouth,McAllister 🔥🔥❤️,
41,Liverpool,Liverpool V Bourmouth,Mrci ékip ❤️💪💪💯,
42,Liverpool,Liverpool V Bourmouth,nice🙌,
43,Liverpool,Liverpool V Bourmouth,Our are enemies gon cry 😂😂😂,
44,Liverpool,Liverpool V Bourmouth,Our enemies are punching air rn😂😂,
45,Liverpool,Liverpool V Bourmouth,Perfect 🔥,
46,Liverpool,Liverpool V Bourmouth,"persib menang liverpool menang, tibra ach",
47,Liverpool,Liverpool V Bourmouth,Rent money 💰😍😂,
48,Liverpool,Liverpool V Bourmouth,Safe to say BBL innit?😂,
49,Liverpool,Liverpool V Bourmouth,"Step by step, we getting somewhere🙌🏾",
50,Liverpool,Liverpool V Bourmouth,Tell them 🙌,
51,Liverpool,Liverpool V Bourmouth,They Not Like Us😂🔥,
52,Liverpool,Liverpool V Bourmouth,Trey Nyoni what a player⭐️,
53,Liverpool,Liverpool V Bourmouth,Unbeaten,
54,Liverpool,Liverpool V Bourmouth,Vamos🔥🔥🔥,
55,Liverpool,Liverpool V Bourmouth,We go again👏,
56,Liverpool,Liverpool V Bourmouth,We never walk alone 😊,
57,Liverpool,Liverpool V Bourmouth,We were lucky a real test is coming after the international break,
58,Liverpool,Liverpool V Bourmouth,We're getting there slowly,
59,Liverpool,Liverpool V Bourmouth,When are we sellin Wirtz?,Florian Wirtz
60,Liverpool,Liverpool V Bourmouth,Wirtz is so poor tbh😢,Florian Wirtz
61,Liverpool,Liverpool V Bourmouth,Wirtz out,Florian Wirtz
62,Liverpool,Liverpool V Bourmouth,Wirtz out,Florian Wirtz
63,Liverpool,Liverpool V Bourmouth,YNWA,
64,Liverpool,Liverpool V Bourmouth,YNWA 🔥,
65,Liverpool,Liverpool V Bourmouth,หงส์แดงโว้ยยยย❤️,
66,Liverpool,Liverpool V Bourmouth,👏,
67,Liverpool,Liverpool V Bourmouth,👏❤️🔥🔥,
68,Liverpool,Liverpool V Bourmouth,👏👏👏 YNWA,
69,Liverpool,Liverpool V Bourmouth,🔥,
