ID_Comentario;Equipo;Partido;Comentario_Limpio;Entidad_Mencionada
1;Chelsea;Chelsea V Hull city;"""Alonso Ball"" ???????????????";Xabi Alonso
2;Chelsea;Chelsea V Hull city;"""The clip on YouTube where John Terry analyzes the match between Chelsea and Hull offers such fantastic advice. I would honestly love to see JT join Xabi Alonso’s coaching staff! If you haven't listened to it yet, you should definitely check it out—it’s truly amazing.""";"Xabi Alonso, John Terry"
3;Chelsea;Chelsea V Hull city;@chelseafc ??;
4;Chelsea;Chelsea V Hull city;@malogusto outttt;
5;Chelsea;Chelsea V Hull city;"“Geraldo, why are you complaining that we didn’t get a midfielder? With one game a week, we’ll be fine! Give the board credit!!!”";
6;Chelsea;Chelsea V Hull city;•;
7;Chelsea;Chelsea V Hull city;2 points dropped for the tigers today;
8;Chelsea;Chelsea V Hull city;443 ??;
9;Chelsea;Chelsea V Hull city;Again estavao is the difference maker Alonso wtf are you onn;Xabi Alonso
10;Chelsea;Chelsea V Hull city;Alonso is gambling with his lineup….. and i dont know the owners think about this…. he has players who can easily win games but he is too stubborn about a formation that isn't working????;Xabi Alonso
11;Chelsea;Chelsea V Hull city;Alonso must playing with 3 midfielders. 3-5-2;Xabi Alonso
12;Chelsea;Chelsea V Hull city;"Alonso vai afundar o Chelsea, Estevão só joga 5 mim para salvar o time e brincadeira ! Kkk";Xabi Alonso
13;Chelsea;Chelsea V Hull city;Alonso you better stop using @malogusto don’t let us start raining curses on you . And get Neto out fast for Estevao are we seeing different game ? .;"Xabi Alonso, Estêvão, Pedro Neto"
14;Chelsea;Chelsea V Hull city;Alonso you need to pay attention to our defense;Xabi Alonso
15;Chelsea;Chelsea V Hull city;Always a championship team stopping us;
16;Chelsea;Chelsea V Hull city;appened to our defense bruh??;
17;Chelsea;Chelsea V Hull city;as been dreadful;
18;Chelsea;Chelsea V Hull city;as led to Chelsea losing possession quite easily. We really need to address the defensive concerns as soon as possible!....Generating??????;
19;Chelsea;Chelsea V Hull city;"As much as the shambolic defence is the real issue... We need a better double pivot in the midfield, who covers and support the defence..which is lacking at the moment. Maybe Moi presence will solve it";
20;Chelsea;Chelsea V Hull city;as to come on earlier man;
21;Chelsea;Chelsea V Hull city;ate with our defence;
22;Chelsea;Chelsea V Hull city;ato;
