id_registro,fecha_partido,delantero_nombre,club_nombre,minutos_jugados,goles,xg_partido,eficiencia_xg,total_comentarios,clasificacion_sentimiento,porcentaje_aprobacion
1,2026-08-22,Erling Haaland,Man City,90,2,1.85,0.15,1500,Positivo,88.5
2,2026-08-22,Nicolas Jackson,Chelsea,75,0,0.82,-0.82,2100,Negativo,24.0
3,2026-08-23,Rasmus Højlund,Man United,65,0,0.30,-0.30,1800,Negativo,31.5
4,2026-08-23,Darwin Núñez,Liverpool,80,1,1.10,-0.10,1950,Positivo,62.0
5,2026-08-24,Kai Havertz,Arsenal,90,1,0.65,0.35,1400,Positivo,75.0
6,2026-08-24,Dominic Solanke,Tottenham,85,0,0.40,-0.40,950,Neutro,48.0
7,2026-08-29,Erling Haaland,Man City,90,3,2.10,0.90,3200,Positivo,94.0
8,2026-08-29,Nicolas Jackson,Chelsea,90,1,0.95,0.05,1100,Positivo,68.0
9,2026-08-30,Joshua Zirkzee,Man United,70,1,0.70,0.30,1600,Positivo,71.0
10,2026-08-30,Diogo Jota,Liverpool,75,0,0.25,-0.25,850,Neutro,52.0
11,2026-08-31,Gabriel Jesus,Arsenal,60,0,0.50,-0.50,1300,Negativo,38.0
12,2026-08-31,Richarlison,Tottenham,45,0,0.15,-0.15,1050,Negativo,29.0
13,2026-09-12,Omar Marmoush,Man City,60,0,0.20,-0.20,780,Neutro,50.0
14,2026-09-12,Christopher Nkunku,Chelsea,80,1,0.60,0.40,1250,Positivo,79.0
15,2026-09-13,Cody Gakpo,Liverpool,90,1,0.85,0.15,1100,Positivo,73.0
16,2026-09-13,Chido Obi-Martin,Man United,30,0,0.10,-0.10,900,Neutro,55.0
17,2026-09-14,Viktor Gyökeres,Arsenal,90,2,1.50,0.50,2800,Positivo,91.0
18,2026-09-14,Dominic Solanke,Tottenham,90,1,0.75,0.25,1200,Positivo,69.0
